fetched_at,commence_time,event_id,away,home,book,market,side,line,odds,player
2026-08-26T17:34:25+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,ml,CON,,680,
2026-08-26T17:34:25+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,ml,GSV,,-1200,
2026-08-26T17:34:25+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,spread,CON,13.5,-104,
2026-08-26T17:34:25+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,spread,GSV,-13.5,-118,
2026-08-26T17:34:25+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,total,over,151.5,-110,
2026-08-26T17:34:25+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,total,under,151.5,-110,
2026-08-26T17:34:25+00:00,2026-08-27T02:00:00Z,3f4381eed1a924a849ea9959a1f16db1,TOR,SEA,fanduel,ml,SEA,,-290,
2026-08-26T17:34:25+00:00,2026-08-27T02:00:00Z,3f4381eed1a924a849ea9959a1f16db1,TOR,SEA,fanduel,ml,TOR,,225,
2026-08-26T17:34:25+00:00,2026-08-27T02:00:00Z,3f4381eed1a924a849ea9959a1f16db1,TOR,SEA,fanduel,spread,SEA,-6.5,-118,
2026-08-26T17:34:25+00:00,2026-08-27T02:00:00Z,3f4381eed1a924a849ea9959a1f16db1,TOR,SEA,fanduel,spread,TOR,6.5,-104,
2026-08-26T17:34:25+00:00,2026-08-27T02:00:00Z,3f4381eed1a924a849ea9959a1f16db1,TOR,SEA,fanduel,total,over,175.5,-108,
2026-08-26T17:34:25+00:00,2026-08-27T02:00:00Z,3f4381eed1a924a849ea9959a1f16db1,TOR,SEA,fanduel,total,under,175.5,-112,
2026-08-26T17:34:25+00:00,2026-08-28T00:00:00Z,2b50cabc59140f70773beddc04b65f5b,GSV,NYL,fanduel,ml,GSV,,104,
2026-08-26T17:34:25+00:00,2026-08-28T00:00:00Z,2b50cabc59140f70773beddc04b65f5b,GSV,NYL,fanduel,ml,NYL,,-128,
2026-08-26T17:34:25+00:00,2026-08-28T00:00:00Z,2b50cabc59140f70773beddc04b65f5b,GSV,NYL,fanduel,spread,GSV,1.5,-106,
2026-08-26T17:34:25+00:00,2026-08-28T00:00:00Z,2b50cabc59140f70773beddc04b65f5b,GSV,NYL,fanduel,spread,NYL,-1.5,-114,
2026-08-26T17:34:25+00:00,2026-08-28T00:00:00Z,2b50cabc59140f70773beddc04b65f5b,GSV,NYL,fanduel,total,over,163.5,-106,
2026-08-26T17:34:25+00:00,2026-08-28T00:00:00Z,2b50cabc59140f70773beddc04b65f5b,GSV,NYL,fanduel,total,under,163.5,-114,
2026-08-26T17:34:25+00:00,2026-08-28T02:00:00Z,c50e15e047d9d6a906dc41c27c15120d,WAS,PHX,fanduel,ml,PHX,,112,
2026-08-26T17:34:25+00:00,2026-08-28T02:00:00Z,c50e15e047d9d6a906dc41c27c15120d,WAS,PHX,fanduel,ml,WAS,,-138,
2026-08-26T17:34:25+00:00,2026-08-28T02:00:00Z,c50e15e047d9d6a906dc41c27c15120d,WAS,PHX,fanduel,spread,PHX,2.5,-108,
2026-08-26T17:34:25+00:00,2026-08-28T02:00:00Z,c50e15e047d9d6a906dc41c27c15120d,WAS,PHX,fanduel,spread,WAS,-2.5,-112,
2026-08-26T17:34:25+00:00,2026-08-28T02:00:00Z,c50e15e047d9d6a906dc41c27c15120d,WAS,PHX,fanduel,total,over,168.5,-114,
2026-08-26T17:34:25+00:00,2026-08-28T02:00:00Z,c50e15e047d9d6a906dc41c27c15120d,WAS,PHX,fanduel,total,under,168.5,-106,
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_assists,Charlisse Leger-Walker|over,3.5,-125,Charlisse Leger-Walker
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_assists,Charlisse Leger-Walker|under,3.5,-106,Charlisse Leger-Walker
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_assists,Veronica Burton|over,6.5,122,Veronica Burton
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_assists,Veronica Burton|under,6.5,-162,Veronica Burton
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_assists,Tiffany Hayes|over,3.5,140,Tiffany Hayes
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_assists,Tiffany Hayes|under,3.5,-188,Tiffany Hayes
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_assists,Cecilia Zandalasini|over,2.5,152,Cecilia Zandalasini
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_assists,Cecilia Zandalasini|under,2.5,-205,Cecilia Zandalasini
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_assists,Saniya Rivers|over,3.5,-112,Saniya Rivers
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_assists,Saniya Rivers|under,3.5,-118,Saniya Rivers
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Charlisse Leger-Walker|over,7.5,102,Charlisse Leger-Walker
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Charlisse Leger-Walker|under,7.5,-132,Charlisse Leger-Walker
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Diamond Miller|over,9.5,-120,Diamond Miller
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Diamond Miller|under,9.5,-108,Diamond Miller
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Gabby Williams|over,11.5,-125,Gabby Williams
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Gabby Williams|under,11.5,-104,Gabby Williams
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Janelle Salaun|over,12.5,-113,Janelle Salaun
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Janelle Salaun|under,12.5,-115,Janelle Salaun
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Aaliyah Edwards|over,11.5,-118,Aaliyah Edwards
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Aaliyah Edwards|under,11.5,-110,Aaliyah Edwards
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Kennedy Burke|over,9.5,-130,Kennedy Burke
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Kennedy Burke|under,9.5,100,Kennedy Burke
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Veronica Burton|over,12.5,-122,Veronica Burton
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Veronica Burton|under,12.5,-106,Veronica Burton
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Tiffany Hayes|over,11.5,100,Tiffany Hayes
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Tiffany Hayes|under,11.5,-130,Tiffany Hayes
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Saniya Rivers|over,9.5,-110,Saniya Rivers
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Saniya Rivers|under,9.5,-118,Saniya Rivers
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Cecilia Zandalasini|over,8.5,100,Cecilia Zandalasini
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_points,Cecilia Zandalasini|under,8.5,-130,Cecilia Zandalasini
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_rebounds,Janelle Salaun|over,4.5,118,Janelle Salaun
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_rebounds,Janelle Salaun|under,4.5,-158,Janelle Salaun
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_rebounds,Diamond Miller|over,2.5,-148,Diamond Miller
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_rebounds,Diamond Miller|under,2.5,112,Diamond Miller
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_rebounds,Aaliyah Edwards|over,5.5,120,Aaliyah Edwards
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_rebounds,Aaliyah Edwards|under,5.5,-160,Aaliyah Edwards
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_rebounds,Kennedy Burke|over,3.5,-104,Kennedy Burke
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_rebounds,Kennedy Burke|under,3.5,-128,Kennedy Burke
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_rebounds,Charlisse Leger-Walker|over,2.5,-162,Charlisse Leger-Walker
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_rebounds,Charlisse Leger-Walker|under,2.5,122,Charlisse Leger-Walker
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_rebounds,Veronica Burton|over,3.5,-136,Veronica Burton
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_rebounds,Veronica Burton|under,3.5,102,Veronica Burton
2026-08-26T17:34:26+00:00,2026-08-26T23:10:00Z,8c94c1b3ead27f83634f28eecbee96ee,GSV,CON,fanduel,player_rebounds,Tiffany Hayes|over,3.5,116,Tiffany Hayes
