run_id,generated_at,game_date,away,home,market,projection,projection_basis,side,line,odds,opposite_odds,book,model_prob,implied_prob,vig_free,edge,tier,verdict,priced
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-22,IND,NYL,moneyline,0.5066,Normal CDF of projected margin (σ=12),IND,,136,102,betrivers,0.5066,0.4612,True,0.0454,Standard,PLAY,True
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-22,IND,NYL,spread,-0.2,projected home margin,IND,-3.0,-108,-108,lowvig,0.6051,0.5,True,0.1051,Strong,PLAY,True
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-22,IND,NYL,total,182.0,projected total,UNDER,186.5,-108,-108,lowvig,0.6462,0.5,True,0.1462,Strong,PLAY,True
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-22,CON,LAS,moneyline,0.5955,Normal CDF of projected margin (σ=12),LAS,,-142,170,fanduel,0.5955,0.613,True,-0.0175,Pass,PASS,True
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-22,CON,LAS,spread,2.9,projected home margin,CON,-5.0,-108,-108,lowvig,0.5695,0.5,True,0.0695,Standard,PLAY,True
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-22,CON,LAS,total,173.3,projected total,OVER,169.5,-107,-106,betrivers,0.6243,0.5011,True,0.1231,Strong,PLAY,True
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-22,ATL,PHX,moneyline,0.589,Normal CDF of projected margin (σ=12),ATL,,-205,235,fanduel,0.589,0.6925,True,-0.1035,Pass,PASS,True
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-22,ATL,PHX,spread,-2.7,projected home margin,PHX,7.0,-108,-108,lowvig,0.64,0.5,True,0.14,Strong,PLAY,True
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-22,ATL,PHX,total,173.5,projected total,UNDER,176.5,-108,-108,lowvig,0.5987,0.5,True,0.0987,Strong,PLAY,True
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-23,SEA,DAL,moneyline,0.6554,Normal CDF of projected margin (σ=12),DAL,,-290,240,fanduel,0.6554,0.7166,True,-0.0612,Pass,PASS,True
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-23,SEA,DAL,spread,4.8,projected home margin,SEA,-6.5,100,-113,lowvig,0.5563,0.4852,True,0.0711,Standard,PLAY,True
