run_id,generated_at,date,time,away,home,projected_away_pts,projected_home_pts,projected_total,projected_home_spread,projected_pace,away_ortg,away_drtg,home_ortg,home_drtg,away_net,home_net,home_win_prob,win_prob_basis,home_court_pts,home_court_basis,model_note,book_total_line,book_spread_line,book_home_ml,book_away_ml,book_spread_odds,book_spread_opposite,book_total_over_odds,book_total_under_odds,book_ml_book,book_spread_book,book_total_book
52c190b52be3,2026-08-25T16:30:04+00:00,2026-08-25,2026-08-25T23:00Z,CHI,CON,86.8,85.0,171.8,-1.8,82.0,105.1,107.3,98.6,108.1,-2.2,-9.5,0.4404,Normal CDF of projected margin (σ=12),1.21,"win-rate blend (n=277, home win 53%, mean margin 1.8)",Team ORtg/DRtg + blended pace baseline; injury/odds adjustments pending.,168.5,5.5,158,-196,-118,-104,-115,-105,fanduel,fanduel,fanduel
52c190b52be3,2026-08-25T16:30:04+00:00,2026-08-25,2026-08-26T00:00Z,PDX,DAL,86.0,90.3,176.3,4.3,80.8,106.8,112.0,110.1,107.6,-5.2,2.5,0.64,Normal CDF of projected margin (σ=12),1.21,"win-rate blend (n=277, home win 53%, mean margin 1.8)",Team ORtg/DRtg + blended pace baseline; injury/odds adjustments pending.,176.5,-7.5,-310,240,-110,-110,-115,-105,fanduel,fanduel,fanduel
52c190b52be3,2026-08-25T16:30:04+00:00,2026-08-25,2026-08-26T02:00Z,WAS,PHX,84.0,83.8,167.8,-0.2,80.3,101.9,102.9,104.4,108.8,-1.0,-4.4,0.4934,Normal CDF of projected margin (σ=12),1.21,"win-rate blend (n=277, home win 53%, mean margin 1.8)",Team ORtg/DRtg + blended pace baseline; injury/odds adjustments pending.,165.5,3.5,118,-144,-118,-104,-106,-114,fanduel,fanduel,fanduel
52c190b52be3,2026-08-25T16:30:04+00:00,2026-08-26,2026-08-26T23:00Z,GSV,CON,84.3,78.6,162.9,-5.7,78.1,109.3,101.1,98.6,108.1,8.2,-9.5,0.3174,Normal CDF of projected margin (σ=12),1.21,"win-rate blend (n=277, home win 53%, mean margin 1.8)",Team ORtg/DRtg + blended pace baseline; injury/odds adjustments pending.,,,,,,,,,,,
52c190b52be3,2026-08-25T16:30:04+00:00,2026-08-26,2026-08-27T02:00Z,TOR,SEA,86.1,88.3,174.4,2.2,80.8,107.3,115.9,101.3,107.5,-8.6,-6.2,0.5727,Normal CDF of projected margin (σ=12),1.21,"win-rate blend (n=277, home win 53%, mean margin 1.8)",Team ORtg/DRtg + blended pace baseline; injury/odds adjustments pending.,,,,,,,,,,,
52c190b52be3,2026-08-25T16:30:04+00:00,2026-08-27,2026-08-28T00:00Z,GSV,NYL,84.4,83.9,168.3,-0.5,78.4,109.3,101.1,111.2,107.5,8.2,3.7,0.4834,Normal CDF of projected margin (σ=12),1.21,"win-rate blend (n=277, home win 53%, mean margin 1.8)",Team ORtg/DRtg + blended pace baseline; injury/odds adjustments pending.,,,,,,,,,,,
52c190b52be3,2026-08-25T16:30:04+00:00,2026-08-27,2026-08-28T02:00Z,WAS,PHX,84.0,83.8,167.8,-0.2,80.3,101.9,102.9,104.4,108.8,-1.0,-4.4,0.4934,Normal CDF of projected margin (σ=12),1.21,"win-rate blend (n=277, home win 53%, mean margin 1.8)",Team ORtg/DRtg + blended pace baseline; injury/odds adjustments pending.,,,,,,,,,,,
52c190b52be3,2026-08-25T16:30:04+00:00,2026-08-28,2026-08-28T23:30Z,PDX,ATL,85.6,91.2,176.8,5.6,81.5,106.8,112.0,110.5,104.8,-5.2,5.7,0.6796,Normal CDF of projected margin (σ=12),1.21,"win-rate blend (n=277, home win 53%, mean margin 1.8)",Team ORtg/DRtg + blended pace baseline; injury/odds adjustments pending.,,,,,,,,,,,
52c190b52be3,2026-08-25T16:30:04+00:00,2026-08-28,2026-08-28T23:30Z,CON,IND,84.0,92.2,176.2,8.2,82.1,98.6,108.1,115.1,107.6,-9.5,7.5,0.7528,Normal CDF of projected margin (σ=12),1.21,"win-rate blend (n=277, home win 53%, mean margin 1.8)",Team ORtg/DRtg + blended pace baseline; injury/odds adjustments pending.,,,,,,,,,,,
52c190b52be3,2026-08-25T16:30:04+00:00,2026-08-28,2026-08-29T02:00Z,TOR,LVA,85.7,91.9,177.6,6.2,80.4,107.3,115.9,111.1,107.5,-8.6,3.6,0.6973,Normal CDF of projected margin (σ=12),1.21,"win-rate blend (n=277, home win 53%, mean margin 1.8)",Team ORtg/DRtg + blended pace baseline; injury/odds adjustments pending.,,,,,,,,,,,
52c190b52be3,2026-08-25T16:30:04+00:00,2026-08-28,2026-08-29T02:00Z,WAS,LAS,86.6,85.9,172.5,-0.7,81.5,101.9,102.9,106.3,112.0,-1.0,-5.7,0.4767,Normal CDF of projected margin (σ=12),1.21,"win-rate blend (n=277, home win 53%, mean margin 1.8)",Team ORtg/DRtg + blended pace baseline; injury/odds adjustments pending.,,,,,,,,,,,
