away,awayName,awayPts,date,dateNum,gqi,home,homeName,homePts,id,loser,margin,month,overtime,pace,season,seasonType,topPerf,winner,total,home_margin,away_result,home_result
CON,Connecticut Sun,75,2026-05-08,1778198400000,30,NYL,New York Liberty,106,1022600001,CON,31,May,False,88.5,2026-27,regular_season,"B. Stewart — 31 pts, 10 reb",NYL,181,31,L,W
WAS,Washington Mystics,68,2026-05-08,1778198400000,43,TOR,Toronto Tempo,65,1022600002,TOR,3,May,False,81.5,2026-27,regular_season,"M. Mabrey — 27 pts, 7 reb",WAS,133,-3,W,L
GSV,Golden State Valkyries,91,2026-05-08,1778198400000,25,SEA,Seattle Storm,80,1022600003,SEA,11,May,False,75.0,2026-27,regular_season,"D. Malonga — 21 pts, 8 reb",GSV,171,-11,W,L
DAL,Dallas Wings,107,2026-05-09,1778284800000,73,IND,Indiana Fever,104,1022600004,IND,3,May,False,89.0,2026-27,regular_season,"K. Mitchell — 30 pts, 4 ast",DAL,211,-3,W,L
PHX,Phoenix Mercury,99,2026-05-09,1778284800000,18,LVA,Las Vegas Aces,66,1022600005,LVA,33,May,False,83.0,2026-27,regular_season,"A. Thomas — 20 pts, 9 ast",PHX,165,-33,W,L
CHI,Chicago Sky,98,2026-05-09,1778284800000,29,PDX,Portland Fire,83,1022600006,PDX,15,May,False,82.0,2026-27,regular_season,"K. Cardoso — 22 pts, 14 reb",CHI,181,-15,W,L
ATL,Atlanta Dream,91,2026-05-09,1778284800000,70,MIN,Minnesota Lynx,90,1022600010,MIN,1,May,False,86.5,2026-27,regular_season,"A. Gray — 24 pts, 8 reb",ATL,181,-1,W,L
SEA,Seattle Storm,89,2026-05-10,1778371200000,51,CON,Connecticut Sun,82,1022600007,CON,7,May,False,86.5,2026-27,regular_season,"A. Morrow — 17 pts, 16 reb",SEA,171,-7,W,L
NYL,New York Liberty,98,2026-05-10,1778371200000,76,WAS,Washington Mystics,93,1022600008,WAS,5,May,True,86.5,2026-27,regular_season,"M. Johannes — 25 pts, 2 ast",NYL,191,-5,W,L
LVA,Las Vegas Aces,105,2026-05-10,1778371200000,26,LAS,Los Angeles Sparks,78,1022600009,LAS,27,May,False,83.0,2026-27,regular_season,"K. Plum — 27 pts, 4 reb",LVA,183,-27,W,L
PHX,Phoenix Mercury,79,2026-05-10,1778371200000,14,GSV,Golden State Valkyries,95,1022600011,PHX,16,May,False,76.5,2026-27,regular_season,"J. Salaun — 21 pts, 3 reb",GSV,174,16,L,W
ATL,Atlanta Dream,77,2026-05-12,1778544000000,32,DAL,Dallas Wings,72,1022600012,DAL,5,May,False,78.0,2026-27,regular_season,"A. Gray — 26 pts, 4 reb",ATL,149,-5,W,L
MIN,Minnesota Lynx,88,2026-05-12,1778544000000,50,PHX,Phoenix Mercury,84,1022600013,PHX,4,May,False,81.0,2026-27,regular_season,"K. Copper — 30 pts, 2 ast",MIN,172,-4,W,L
NYL,New York Liberty,96,2026-05-12,1778544000000,61,PDX,Portland Fire,98,1022600014,NYL,2,May,False,79.0,2026-27,regular_season,"B. Carleton — 26 pts, 1 reb",PDX,194,2,L,W
SEA,Seattle Storm,73,2026-05-13,1778630400000,22,TOR,Toronto Tempo,86,1022600015,SEA,13,May,False,81.0,2026-27,regular_season,"M. Mabrey — 26 pts, 4 reb",TOR,159,13,L,W
LVA,Las Vegas Aces,98,2026-05-13,1778630400000,18,CON,Connecticut Sun,69,1022600016,CON,29,May,False,83.0,2026-27,regular_season,"C. Carter — 27 pts, 8 reb",LVA,167,-29,W,L
CHI,Chicago Sky,69,2026-05-13,1778630400000,28,GSV,Golden State Valkyries,63,1022600017,GSV,6,May,False,75.5,2026-27,regular_season,"R. Jackson — 18 pts, 5 reb",CHI,132,-6,W,L
IND,Indiana Fever,87,2026-05-13,1778630400000,36,LAS,Los Angeles Sparks,78,1022600018,LAS,9,May,False,82.0,2026-27,regular_season,"K. Plum — 25 pts, 4 ast",IND,165,-9,W,L
MIN,Minnesota Lynx,90,2026-05-14,1778716800000,46,DAL,Dallas Wings,86,1022600019,DAL,4,May,False,78.0,2026-27,regular_season,"P. Bueckers — 27 pts, 8 ast",MIN,176,-4,W,L
NYL,New York Liberty,100,2026-05-14,1778716800000,30,PDX,Portland Fire,82,1022600020,PDX,18,May,False,86.0,2026-27,regular_season,"B. Stewart — 22 pts, 7 reb",NYL,182,-18,W,L
LVA,Las Vegas Aces,101,2026-05-15,1778803200000,59,CON,Connecticut Sun,94,1022600021,CON,7,May,False,84.5,2026-27,regular_season,"A. Wilson — 45 pts, 3 reb",LVA,195,-7,W,L
WAS,Washington Mystics,104,2026-05-15,1778803200000,87,IND,Indiana Fever,102,1022600022,IND,2,May,True,94.5,2026-27,regular_season,"C. Clark — 32 pts, 10 ast",WAS,206,-2,W,L
TOR,Toronto Tempo,95,2026-05-15,1778803200000,58,LAS,Los Angeles Sparks,99,1022600023,TOR,4,May,False,80.0,2026-27,regular_season,"B. Sykes — 27 pts, 7 ast",LAS,194,4,L,W
