above3FgPct,above3Share,advantageShotRate,apg,astPct,astPer100,astPer36,astPer40,astToTov,astTotal,blkPer100,blkPer40,blkTotal,bpg,bpm,bpmConfidence,closeGameMinutesShare,clutchPlusMinusPer36,clutchPtsPer36,corner3FgPct,corner3Share,creationCareIndex,creationLoad,cvi,cvi2Y,cvi2YConfidence,cvi2YDelta,cvi2YMinutes,cvi2YSeasons,cvi3Y,cvi3YConfidence,cvi3YDelta,cvi3YMinutes,cvi3YSeasons,cviAvailability,cviConfidence,cviContext,cviCreation,cviCreationConfidence,cviCreationPercentile,cviDecision,cviDefense,cviDefenseConfidence,cviDefensePercentile,cviDefensePossession,cviDefensiveWorkload,cviFormDelta,cviGlass,cviGlassConfidence,cviGlassPercentile,cviLuckNeutral,cviMatchupResilience,cviOffense,cviPercentile,cviPlaymaking,cviPlaymakingConfidence,cviPlaymakingPercentile,cviPortability,cviRoleDifficulty,cviRoleScalability,cviScoring,cviScoringConfidence,cviScoringPercentile,cviSpacing,cviSpacingConfidence,cviSpacingPercentile,cviStable,cviStableConfidence,cviStableMinutes,cviStableSeasons,dbpm,defensiveActivityIndex,drapm,drebPct,drtg,efg,efgRel,efgZ,expectedMinutes,expectedPoints,fg3Pct,fg3PctRel,fg3PctZ,fg3aTotal,fg3mTotal,fgPct,fgaTotal,fgmTotal,foulDisciplineIndex,fpg,freeThrowRate,ftPct,ftPctRel,ftPctZ,ftaTotal,ftmTotal,glassValueIndex,gp,id,midFgPct,midShare,minutesRoleGap,minutesTotal,mpg,name,netRtg,obpm,oppPointsOffTurnoversPer36,oppPointsPaintPer36,oppPointsSecondChancePer36,orapm,orebPct,ortg,paintShare,pfPer100,pfPer36,pfPer40,pfTotal,pos,possessionFinishIndex,possessionsTotal,ppg,projectedMinutes,projectedMinutesHigh,projectedMinutesLow,projectedMinutesRange,projectedPlayProbability,projectedPoints,projectedPointsHigh,projectedPointsLow,projectedPointsRange,projectedStarterProbability,projectionConfidence,projectionHome,projectionSource,ptsPer100,ptsPer36,ptsPer40,ptsTotal,rapm,rapmConfidence,rapmConfidenceTier,rapmFlags,rapmFoldRankRange,rapmFoldRankStd,rapmHi,rapmLo,rapmNet,rapmNetGap,rapmPriorPullPct,rapmPublishReason,rapmPublishable,rapmQualified,rapmRank,rapmRankShift,rapmSe,rapmWeird,rebPct,rebPer100,rebPer36,rebPer40,rebTotal,rimFgPct,rimPressureIndex,rimShare,roleTrustScore,rpg,season,secondChancePtsPerGame,selfCreationRate,shotMixValueAdd,shotQualityIndex,spg,stlPer100,stlPer40,stlTotal,stocksPer36,team,threePAR,topg,tovPct,tovPer100,tovPer40,tovTotal,ts,tsRel,tsZ,usg
39.5,12.8,36.9,3.2,17.4,5.0,3.6,4.0,1.28,115,3.1,2.5,72,2.0,0.35000000000000003,96.0,3.8,-14.0,43.0,60.0,0.8,15.2,25.1,10.85,10.8,97.1,1.33,2151.0,2.0,10.85,97.1,1.38,3352.0,3.0,1.31,97.1,2.62,2.7,100.0,96.0,0.05,2.7199999999999998,100.0,100.0,6.78,0.6000000000000001,-0.19,2.31,100.0,96.4,0.76,1.05,3.98,99.6,-0.22,100.0,42.6,0.38,1.17,0.74,0.9400000000000001,80.0,87.9,-0.76,100.0,22.0,10.85,97.1,3352.0,3.0,0.14,20.2,0.41000000000000003,24.2,102.4,54.9,3.2,0.65,29.02162732596897,23.807332498609536,40.7,6.5,1.08,86,35,52.1,631,329,18.2,1.9,44.7,85.8,7.1,0.74,282,242,18.4,36,1628932,42.3,27.7,-2.4,1157,32.1,A'ja Wilson,12.7,0.22,11.3,33.0,9.0,3.2,6.0,115.1,35.3,3.0,2.12,2.4,68,C,29.8,2286,26.0,29.69384684228564,35.225266177627546,24.162427506943736,11.1,0.9773616561071701,24.358774819787886,34.52813999782414,15.12636281837439,19.4,0.5880745040363371,64.6,,baseline,40.9,29.2,32.3,935,3.61,37.2,low,high_se,22,8.44,6.53,0.6900000000000001,3.61,0,0.92,,True,True,1,0,2.2800000000000002,False,15.4,14.9,10.7,11.8,341,72.8,68.0,23.3,74.5,9.5,2026-27,3.3,22.5,-8.8,-16.4,1.4,2.3,1.8,52,3.86,LVA,13.6,2.5,9.2,3.9,3.1,89,61.9,5.8,1.08,32.3
46.9,36.1,72.0,2.8,14.1,4.0,3.1,3.4,1.56,108,0.2,0.2,5,0.1,0.14,99.9,6.8,-2.1,26.7,25.0,2.4,14.3,25.5,3.5300000000000002,3.65,97.1,0.42,2355.0,2.0,3.5300000000000002,97.1,0.30000000000000004,3568.0,3.0,1.28,97.1,2.46,2.16,100.0,92.8,0.05,-1.07,100.0,10.3,-2.67,0.54,0.12,-1.22,100.0,4.5,0.65,0.59,6.36,88.8,-0.19,100.0,43.5,0.41000000000000003,0.59,0.8300000000000001,1.5899999999999999,80.0,97.3,1.48,100.0,96.0,3.5300000000000002,97.1,3568.0,3.0,-0.03,4.4,-0.19,3.4,105.7,59.7,8.0,1.38,32.07460283371047,26.36187696458232,45.5,11.3,1.77,257,117,51.0,667,340,4.7,2.5,29.8,85.4,6.7,0.6900000000000001,199,170,3.6,39,1628909,41.3,15.6,-0.6000000000000001,1282,32.9,Kelsey Mitchell,8.7,0.18,12.6,38.8,8.4,1.76,1.7000000000000002,114.4,12.4,3.6,2.7199999999999998,3.0,97,G,3.3,2668,24.8,32.27052885109346,36.76820151942175,27.772856182765167,9.0,0.993928639400765,26.52290709771253,36.69153745884235,17.289760279392603,19.4,0.61814025166828,66.7,,baseline,36.2,27.1,30.2,967,1.57,42.5,low,high_se,65,28.0,4.5,-1.3599999999999999,1.57,0,0.918,,True,True,14,-8,2.287,False,2.7,2.4,1.9,2.0,65,60.1,63.2,33.4,79.6,1.7000000000000002,2026-27,2.2,40.9,1.3,2.5,1.1,1.5,1.3,41,1.29,IND,38.5,1.8,7.6,2.6,2.2,69,64.1,8.0,1.42,27.5
36.4,49.0,70.7,8.3,40.1,12.7,9.6,10.6,1.8,290,0.8,0.7000000000000001,18,0.5,0.12,89.3,6.8,13.6,24.7,66.7,0.5,36.3,42.1,13.11,12.96,91.9,1.47,1172.0,2.0,13.11,93.6,1.62,2498.0,3.0,1.23,93.6,3.54,6.62,100.0,100.0,1.16,-0.97,100.0,13.9,-2.16,-0.15,-0.03,-0.62,100.0,28.3,0.55,0.77,15.36,100.0,2.9699999999999998,100.0,98.7,0.46,1.52,1.27,0.8,80.0,83.0,1.13,100.0,95.1,13.11,93.6,2498.0,3.0,-0.01,7.1,-0.42,10.8,107.5,54.1,2.4,0.53,31.590647317542942,21.96917979393766,36.8,2.6,0.51,272,100,45.0,549,247,4.5,3.2,39.3,83.8,5.1,0.53,216,181,6.3,35,1642286,41.0,15.1,0.4,1092,31.2,Caitlin Clark,4.2,0.13,14.2,38.9,9.5,0.87,0.7000000000000001,111.7,14.2,4.9,3.66,4.1,111,G,10.4,2288,22.1,31.590647317542942,36.08831998587124,27.092974649214646,9.0,1.0,21.96917979393766,32.143043046368604,12.74126586691885,19.4,0.582841416759299,66.3,,baseline,33.9,25.5,28.4,775,0.45,40.2,low,prior_heavy,31,12.09,3.27,-2.37,0.45,0,0.98,,True,True,49,1,2.203,False,5.9,5.9,4.4,4.9,134,65.5,60.4,21.1,78.1,3.8,2026-27,1.0,69.6,-2.3,-1.4,0.9,1.4,1.2,32,1.65,IND,49.5,4.6,13.7,7.0,5.9,161,60.2,4.1,0.8200000000000001,31.4
37.6,41.6,65.4,5.4,21.1,8.6,6.4,7.0,1.9300000000000002,91,0.0,0.0,0,0.0,0.08,71.6,6.8,20.2,42.4,40.0,2.1,22.4,32.0,6.15,6.39,80.7,0.68,1945.0,2.0,6.15,80.7,0.44,3176.0,3.0,1.1,80.7,3.39,3.33,100.0,97.8,0.6000000000000001,-1.63,100.0,2.7,-3.55,0.22,0.21,-1.17,88.8,8.1,0.76,0.66,10.0,95.5,1.78,100.0,93.3,0.44,1.53,1.12,1.6600000000000001,80.0,98.2,0.86,100.0,90.1,6.15,80.7,3176.0,3.0,-0.03,3.5,-0.12,4.5,111.1,60.1,8.4,1.44,10.842705604652744,7.421979510523945,37.7,3.5,0.64,106,40,51.9,243,126,3.0,3.3,37.4,81.3,2.6,0.28,91,74,2.5,17,1628276,68.4,7.8,-2.0,521,30.6,Kelsey Plum,-4.0,0.11,13.4,38.0,11.0,1.49,0.30000000000000004,107.1,26.7,5.3,3.87,4.3,56,G,3.0,1054,21.5,28.60051161068947,34.131930946031375,23.069092275347565,11.1,0.379108798899956,19.577439331558594,28.37813521396278,11.941618935780287,16.4,0.791946891995937,43.6,,baseline,34.7,25.3,28.1,366,1.37,44.9,low,,19,7.37,3.86,-1.12,1.37,0,0.918,,True,True,17,13,1.9460000000000002,False,2.4,3.3,2.5,2.7,35,81.1,59.2,21.8,66.7,2.1,2026-27,1.6,59.5,-2.5,-2.9,1.0,1.6,1.3,17,1.17,PHX,43.6,2.8,8.0,4.6,3.7,48,64.7,8.6,1.51,28.3
26.6,30.1,66.7,1.9,10.8,2.8,2.1,2.3,0.79,70,0.1,0.1,3,0.1,-0.15,97.9,6.7,-3.5,26.7,43.2,6.3,6.2,23.2,-1.04,-1.11,95.8,-0.16,1769.0,2.0,-1.04,96.4,-0.09,2887.0,3.0,1.34,96.4,1.3,1.72,100.0,90.1,-0.51,-0.73,100.0,21.5,-1.5,0.89,-0.04,-0.76,100.0,21.5,0.48,0.35000000000000003,0.4,56.5,-1.13,100.0,7.6,-0.06,0.36,0.38,-0.29,80.0,43.0,-0.21,100.0,38.6,-1.04,96.4,2887.0,3.0,-0.06,4.2,-0.5,9.6,108.4,49.3,-2.4,-0.2,31.533325694833003,19.65138858653946,29.4,-4.8,-0.55,214,63,44.0,589,259,3.0,2.7,41.8,78.9,0.2,0.04,246,194,6.4,37,1627674,28.2,12.1,-1.5,1222,33.0,Kahleah Copper,-5.3,-0.09,14.9,33.9,9.5,0.49,1.7000000000000002,103.1,21.2,4.1,2.95,3.3,100,G,8.4,2464,20.9,31.533325694833003,36.030998363161295,27.03565302650471,9.0,1.0,19.65138858653946,28.45225870050637,12.015742422323875,16.4,1.0,76.6,,baseline,31.5,22.8,25.4,775,-0.01,38.8,low,"high_se,volatile_rank",146,60.06,2.93,-2.96,-0.01,0,0.863,,True,True,74,14,2.298,True,5.6,5.4,3.9,4.3,132,70.4,72.2,30.4,86.9,3.6,2026-27,1.6,31.7,0.0,-0.1,0.7000000000000001,1.1,0.9,27,0.88,PHX,36.3,2.4,9.7,3.6,2.9,88,55.6,-0.5,0.12,29.1
37.8,50.4,72.5,3.7,19.4,6.1,4.5,5.0,1.19,118,0.6000000000000001,0.5,12,0.4,-0.04,91.2,4.3,3.5,37.2,45.8,4.9,15.0,29.9,5.79,5.63,95.2,0.1,1885.0,2.0,5.79,95.2,0.26,3037.0,3.0,1.26,95.2,1.92,3.01,100.0,97.3,-0.07,-0.2,100.0,41.3,-1.1,0.72,0.49,-1.0,100.0,14.8,0.54,0.64,7.44,94.2,0.17,100.0,76.2,0.04,0.6900000000000001,0.74,0.8300000000000001,80.0,84.8,1.87,100.0,98.7,5.79,95.2,3037.0,3.0,-0.1,6.4,-0.58,8.1,113.6,54.8,3.1,0.63,11.577808919321923,8.68817683286199,38.5,4.3,0.76,273,105,44.1,494,218,4.9,2.6,28.9,88.1,9.4,0.97,143,126,5.8,32,1629497,45.2,12.6,-2.9,943,29.5,Marina Mabrey,-8.5,0.06,15.1,40.6,12.9,-0.17,1.7000000000000002,105.1,15.0,4.3,3.21,3.6,84,F,8.0,1949,20.8,26.569857428917494,32.101276764259396,21.038438093575593,11.1,0.43574975704314906,19.938454795286674,28.74104677938342,12.30453050120093,16.4,0.852613724727288,47.4,,baseline,34.2,25.4,28.3,667,-0.75,34.5,low,,48,17.21,2.05,-3.55,-0.75,0,0.879,,True,True,155,20,2.185,False,4.9,5.4,4.0,4.5,105,68.2,46.1,17.2,64.2,3.3,2026-27,1.8,47.2,-2.6,-1.3,0.9,1.5,1.2,29,1.57,TOR,55.3,3.1,11.4,5.1,4.2,99,59.9,3.8,0.78,30.4
23.4,16.7,52.1,3.3,16.7,4.9,3.6,4.0,1.57,122,2.0,1.6,50,1.4,0.13,99.6,6.7,8.7,24.4,36.8,3.4,15.7,23.9,5.47,5.32,96.6,0.68,1924.0,2.0,5.47,96.8,0.8300000000000001,3086.0,3.0,1.21,96.8,2.12,1.82,100.0,91.0,-0.08,1.46,100.0,96.9,4.05,0.71,-0.27,1.44,100.0,89.7,0.54,0.64,1.2,93.7,-0.09,100.0,52.0,0.34,0.41000000000000003,0.64,0.21,80.0,63.7,-1.51,100.0,11.2,5.47,96.8,3086.0,3.0,0.05,15.1,0.58,19.7,106.9,49.4,-2.3,-0.19,29.363208498791714,17.73027269961728,25.7,-8.5,-1.08,113,29,46.8,562,263,11.9,2.2,44.8,84.5,5.8,0.6000000000000001,252,213,14.8,37,1627668,44.2,7.7,-3.5,1228,33.2,Breanna Stewart,3.2,0.08,14.2,34.9,9.3,2.1,4.6,110.1,40.2,3.3,2.43,2.7,83,F,23.1,2478,20.8,29.68447532424917,35.21589465959107,24.15305598890727,11.1,0.9891772779559611,17.92426200514346,26.72500436309515,10.288488084912654,16.4,0.709430448647643,69.4,,baseline,31.0,22.6,25.0,768,2.68,43.5,low,"prior_heavy,high_se",2,0.71,5.62,-0.25,2.68,0,0.9420000000000001,,True,True,4,6,2.292,False,12.5,12.1,8.8,9.8,301,66.1,76.8,32.0,81.3,8.1,2026-27,2.2,29.3,-2.1,-5.9,1.3,2.0,1.6,49,2.9,NYL,20.1,2.1,9.1,3.2,2.6,79,57.1,1.0,0.35000000000000003,27.1
39.6,29.5,41.8,5.9,28.1,8.9,6.4,7.1,2.68,219,0.6000000000000001,0.5,15,0.4,0.07,99.3,4.8,10.3,34.1,50.0,0.30000000000000004,32.3,31.2,6.97,6.94,97.0,0.85,2168.0,2.0,6.97,94.1,0.88,2168.0,2.0,1.32,94.1,3.51,2.69,100.0,95.5,1.3,-0.48,100.0,30.0,-1.03,0.53,0.04,-0.52,100.0,30.5,0.68,0.78,8.11,96.9,2.3,100.0,94.6,0.45,1.18,0.96,0.98,80.0,88.3,0.09,100.0,72.2,6.97,94.1,2168.0,2.0,-0.09,6.4,-0.2,10.5,106.2,56.6,4.9,0.91,31.393427674878893,21.07690031536433,39.8,5.6,0.9500000000000001,171,68,50.7,572,290,4.9,2.6,23.1,87.1,8.4,0.87,132,115,7.3,37,1642784,46.4,31.3,-1.8,1230,33.2,Paige Bueckers,3.4,0.16,11.9,37.6,9.4,2.11,2.1,109.6,26.9,3.9,2.7800000000000002,3.1,95,G,10.4,2458,20.6,31.393427674878893,35.891100343207185,26.8957550065506,9.0,1.0,21.07690031536433,31.24474495438306,11.842967774933308,19.4,0.6331410893514301,67.3,,baseline,31.0,22.3,24.8,763,1.9100000000000001,50.7,medium,"prior_heavy,high_se",19,7.92,4.83,-1.01,1.9100000000000001,0,0.93,,True,True,11,0,2.2800000000000002,True,6.2,6.2,4.4,4.9,152,77.9,35.0,11.9,78.5,4.1,2026-27,2.4,49.6,-11.3,-17.6,0.8,1.3,1.0,31,1.35,DAL,29.9,2.2,8.2,3.3,2.6,80,60.5,4.4,0.87,25.4
39.9,28.2,71.6,6.2,29.2,9.8,7.2,8.0,2.0,228,1.0,0.8,24,0.6000000000000001,0.22,97.0,6.3,25.0,31.0,37.5,1.5,27.8,37.9,10.56,10.56,91.2,1.63,991.0,1.0,10.56,91.2,1.63,991.0,1.0,1.29,91.2,3.68,3.93,100.0,99.1,0.96,0.4,100.0,82.5,0.5700000000000001,0.68,0.0,-0.27,100.0,37.2,0.45,0.93,10.09,99.1,2.3,100.0,95.1,0.68,1.2,1.09,1.2,80.0,92.8,0.03,100.0,68.6,10.56,91.2,991.0,1.0,0.03,9.9,-0.08,12.2,100.9,55.4,3.7,0.72,30.654079919960406,20.688079604485477,39.7,5.5,0.93,156,62,49.5,525,260,6.4,3.0,32.0,86.9,8.2,0.85,168,146,8.1,37,1643426,31.5,10.3,-0.30000000000000004,1147,31.0,Olivia Miles,12.6,0.19,12.6,32.6,11.1,1.06,1.7000000000000002,113.5,18.1,4.8,3.48,3.9,111,G,13.2,2332,19.7,30.654079919960406,35.1517525882887,26.15640725163211,9.0,1.0,20.688079604485477,30.858253589756387,11.456476410306637,19.4,0.626969617225364,67.2,,baseline,31.2,22.9,25.4,728,0.98,56.7,medium,high_se,104,41.79,3.88,-1.92,0.98,0,0.921,,True,True,29,-15,2.262,False,7.2,7.3,5.3,5.9,170,63.2,73.9,41.9,79.8,4.6,2026-27,2.9,77.3,3.9,5.0,1.3,2.0,1.6,47,2.23,MIN,29.7,3.1,11.7,4.9,4.0,115,60.8,4.7,0.91,27.2
32.8,34.2,73.3,2.6,13.2,3.8,2.8,3.1,1.73,98,0.5,0.4,14,0.4,0.15,99.2,4.5,12.9,25.1,31.8,4.1,14.4,19.7,-0.72,-0.5700000000000001,97.2,0.14,2396.0,2.0,-0.72,97.1,-0.01,3631.0,3.0,1.34,97.1,1.5,0.38,100.0,73.1,-0.15,-0.34,100.0,37.7,-1.09,0.5,-0.15,-0.73,100.0,24.2,0.52,0.34,0.22,62.3,-0.41000000000000003,100.0,32.7,0.14,0.43,0.4,0.19,80.0,62.8,-0.04,100.0,51.6,-0.72,97.1,3631.0,3.0,0.07,7.3,0.2,8.2,100.5,52.7,1.0,0.31,30.515252800739628,19.176128068873094,32.5,-1.7000000000000002,-0.1,206,67,46.5,536,249,5.7,2.8,40.7,79.4,0.7000000000000001,0.09,218,173,5.8,38,1628277,40.0,5.6,-2.4,1251,32.9,Allisha Gray,7.6,0.08,13.4,35.5,9.1,0.30000000000000004,2.1,108.1,21.1,4.2,3.11,3.5,108,G,8.7,2576,19.4,30.515252800739628,35.01292546906792,26.017580132411332,9.0,1.0,19.176128068873094,27.977036919072116,11.540520640889621,16.4,0.9898158724533991,76.4,,baseline,28.6,21.2,23.6,738,0.5,40.1,low,"high_se,volatile_rank",121,48.46,3.48,-2.47,0.5,0,0.916,,True,True,47,-25,2.325,True,4.8,4.9,3.6,4.0,125,67.4,75.7,35.0,84.2,3.3,2026-27,2.4,23.7,2.8,4.3,1.3,1.9,1.5,48,1.78,ATL,38.4,1.5,7.1,2.3,1.9,58,58.4,2.3,0.55,22.9
