abbr,ast,blk,dEfg,dFtRate,dOrb,dTov,drtg,efg,fg3a,fga,freeThrowEdge,ftRate,fta,glassEdge,gp,l,meanSeed,minutesTotal,name,net,oEfg,oFtRate,oOrb,oTov,orb,ortg,pace,pf,playoffOdds,plusMinus,possessionsTotal,projectedWins,ptsAgainst,ptsFor,reb,season,shotEdge,stl,tov,tovTotal,ts,turnoverEdge,w
MIN,852,178,50.0,27.8,32.7,18.9,103.6,54.9,0,2750,-2.7,24.7,678,-0.30000000000000004,39,8,1.0164,1560,Minnesota Lynx,9.9,55.0,25.1,32.4,16.2,32.4,113.5,80.7,710,1,323,3149,32.8878,3248,3571,1341,2026-27,5.0,342,16.2,511,58.6,2.7,31
GSV,706,139,48.7,32.7,31.0,19.2,100.2,49.9,0,2525,-5.1,27.2,687,1.0,37,11,3.5128,1480,Golden State Valkyries,8.8,50.4,27.6,32.0,14.9,32.0,109.0,75.8,713,1,227,2882,30.162400000000005,2824,3051,1203,2026-27,1.7000000000000002,290,14.9,419,54.0,4.3,26
IND,808,148,51.6,32.9,29.2,15.8,108.5,56.4,0,2710,-0.30000000000000004,32.2,873,2.4,39,14,4.586799999999999,1560,Indiana Fever,7.2,56.5,32.6,31.6,17.4,31.6,115.7,83.6,844,1,222,3260,29.182999999999993,3547,3769,1295,2026-27,4.9,260,17.4,566,60.9,-1.6,25
ATL,802,125,54.1,32.9,27.1,19.9,104.5,50.1,0,2714,2.0,34.7,941,9.3,38,13,3.2178,1520,Atlanta Dream,6.8,50.2,34.9,36.4,16.8,36.4,111.3,81.7,762,1,214,3106,30.086399999999994,3246,3460,1351,2026-27,-3.9,346,16.8,521,55.3,3.1,25
LVA,853,192,50.9,28.2,30.0,16.7,107.0,54.5,0,2656,1.5,29.6,786,-3.6,39,13,3.2712,1560,Las Vegas Aces,4.5,54.6,29.7,26.4,15.3,26.4,111.5,79.3,689,1,143,3091,30.4576,3388,3531,1305,2026-27,3.7,268,15.3,481,58.8,1.4,26
NYL,801,155,52.1,26.7,26.7,14.6,107.9,54.2,0,2559,4.7,30.9,791,4.8,38,15,5.7734000000000005,1520,New York Liberty,3.8,54.4,31.4,31.5,18.3,31.5,111.7,81.2,709,1,119,3084,28.114799999999995,3329,3448,1335,2026-27,2.3,234,18.3,563,59.3,-3.7,23
DAL,851,152,51.4,27.7,28.3,16.1,107.1,52.3,0,2773,-1.9,25.5,708,2.5,39,16,7.1654,1560,Dallas Wings,3.8,52.4,25.8,30.8,15.0,30.8,110.9,80.1,714,1,120,3123,26.4462,3343,3463,1330,2026-27,1.0,264,15.0,469,56.1,1.1,23
WAS,742,148,49.4,28.5,27.7,15.7,103.9,49.4,0,2481,10.6,38.7,960,7.9,38,15,7.4562,1520,Washington Mystics,-0.7000000000000001,49.5,39.1,35.6,19.8,35.6,103.2,80.3,738,1,-9,3050,26.507199999999994,3160,3151,1435,2026-27,0.1,207,19.8,602,54.3,-4.1,23
CHI,840,183,50.3,33.8,31.6,16.5,107.7,49.6,0,2725,-0.4,33.2,906,-3.9,39,24,10.382200000000001,1560,Chicago Sky,-2.9,49.7,33.4,27.7,16.0,27.7,104.8,83.2,823,0,-101,3246,16.8652,3502,3401,1303,2026-27,-0.6000000000000001,278,16.0,520,54.4,0.5,15
PHX,760,123,53.7,27.7,29.0,17.0,109.4,50.4,0,2480,8.6,35.6,884,-2.2,38,25,10.908600000000002,1520,Phoenix Mercury,-4.8,50.4,36.3,26.8,17.1,26.8,104.6,80.3,705,0,-148,3051,15.7738,3341,3193,1198,2026-27,-3.3,275,17.1,521,55.6,-0.1,13
PDX,788,137,53.4,35.8,34.4,17.7,112.5,52.5,0,2600,-8.7,26.8,697,-4.8,38,23,9.368,1520,Portland Fire,-5.7,52.7,27.1,29.6,18.6,29.6,106.8,81.1,842,0,-180,3083,18.139,3473,3293,1151,2026-27,-0.7000000000000001,280,18.6,571,56.6,-0.9,15
SEA,727,170,49.3,32.2,33.5,17.3,107.3,49.0,0,2627,-4.2,27.4,720,-4.0,38,31,14.979999999999999,1520,Seattle Storm,-6.2,48.8,28.0,29.5,18.1,29.5,101.1,80.0,753,0,-210,3120,8.913000000000002,3360,3150,1282,2026-27,-0.5,288,18.1,562,53.5,-0.8,7
LAS,825,123,54.2,28.6,32.3,17.4,111.7,52.6,0,2589,1.2,29.3,759,-4.6,38,25,11.361,1520,Los Angeles Sparks,-6.3,52.6,29.8,27.7,18.3,27.7,105.4,82.7,754,0,-200,3142,15.411200000000001,3516,3316,1183,2026-27,-1.6,289,18.3,575,56.7,-0.9,13
TOR,742,120,54.0,32.1,34.4,16.0,115.2,51.8,0,2513,-0.6000000000000001,30.6,770,-5.0,37,26,13.942,1480,Toronto Tempo,-8.5,51.6,31.5,29.4,17.8,29.4,106.7,81.4,798,0,-238,3094,11.2366,3467,3229,1159,2026-27,-2.4,254,17.8,532,56.6,-1.8,11
CON,706,172,52.7,36.5,31.1,18.8,107.9,47.0,0,2525,-4.5,31.4,793,0.8,37,27,13.058200000000001,1480,Connecticut Sun,-10.0,46.7,32.0,31.9,18.1,31.9,97.9,80.4,834,0,-282,3057,12.375800000000002,3214,2932,1215,2026-27,-6.0,305,18.1,542,51.0,0.7000000000000001,10
