source,box_id,date,gameId,deanAbbrev,actionType,oScPoss,oPoss,oPtsProd,oNetPts
espnanalytics,20250811-1022500204,2025-08-11,1022500204,CON,2pt,16.0,29.903,32,1.7675
espnanalytics,20250811-1022500204,2025-08-11,1022500204,CON,3pt,5.0,19.588,15,-5.489
espnanalytics,20250811-1022500204,2025-08-11,1022500204,CON,freethrow,4.0,5.88,10,3.8495
espnanalytics,20250811-1022500204,2025-08-11,1022500204,CON,jumpball,0.0,0.0,0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,CON,period,0.0,0.0,0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,CON,rebound,0.0,-0.371,0,0.3881
espnanalytics,20250811-1022500204,2025-08-11,1022500204,CON,stoppage,0.0,0.0,0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,CON,timeout,0.0,0.0,0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,CON,turnover,0.0,14.0,0,-14.644
espnanalytics,20250811-1022500204,2025-08-11,1022500204,CON,violation,0.0,0.0,0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,GSV,2pt,13.0,24.511,26,1.0403
espnanalytics,20250811-1022500204,2025-08-11,1022500204,GSV,3pt,13.0,27.604,39,10.1262
espnanalytics,20250811-1022500204,2025-08-11,1022500204,GSV,freethrow,4.3064,5.64,9,3.1006
espnanalytics,20250811-1022500204,2025-08-11,1022500204,GSV,period,0.0,0.0,0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,GSV,rebound,0.0,1.894,0,-1.9811
espnanalytics,20250811-1022500204,2025-08-11,1022500204,GSV,stoppage,0.0,0.0,0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,GSV,timeout,0.0,0.0,0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,GSV,turnover,0.0,9.0,0,-9.414
espnanalytics,20250811-1022500204,2025-08-11,1022500204,GSV,violation,0.0,0.0,0,0.0
