source,box_id,date,gmID,gameCode,deanAbbrev,plyrID,displayName,actionType,oNetPts,dNetPts,tNetPts
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,2pt,-0.7615,1.594,0.8325
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,2ptShooting,-0.649,0.3356,-0.3134
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,3pt,-0.343,0.0193,-0.3237
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,3ptShooting,0.0,-0.0489,-0.0489
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,assist,0.0,-0.3342,-0.3342
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,atb,0.0,-0.4676,-0.4676
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,badpass,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,bank,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,corner,0.0,0.4186,0.4186
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,cutting,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,driving,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,dunk,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,fade,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,floating,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,foul,2.7752,-0.3416,2.4336
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,freethrow,-1.4736,0.1271,-1.3465
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,grenade,0.0,0.2691,0.2691
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,hook,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,layup,0.5627,0.3356,0.8983
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,mid,-0.6059,0.0,-0.6059
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,period,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,rebound,0.2396,0.3524,0.592
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,rim,-0.0432,0.3356,0.2924
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,stoppage,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,timeout,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,turnover,-2.8693,0.9121,-1.9572
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,violation,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,fastbreak,-0.1158,0.2092,0.0934
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,putback,-0.2653,0.0799,-0.1854
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642290,Aaliyah Edwards,total,-2.4326,2.6632,0.2306
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,2pt,-0.3167,-0.6777,-0.9944
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,2ptShooting,-0.1745,-0.2766,-0.4512
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,3pt,-0.123,-1.2471,-1.3701
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,3ptShooting,0.5718,-0.8611,-0.2892
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,assist,0.0,-0.1603,-0.1603
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,atb,-1.02,-1.0458,-2.0657
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,badpass,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,bank,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,corner,1.5918,0.1847,1.7765
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,cutting,0.0,0.1273,0.1273
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,driving,0.0,-0.176,-0.176
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,dunk,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,fade,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,floating,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,foul,0.8447,-1.3433,-0.4986
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,freethrow,0.124,0.3863,0.5103
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,grenade,0.0,-0.2947,-0.2947
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,hook,1.5597,0.0,1.5597
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,jumpball,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,layup,-0.6995,-0.0486,-0.7481
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,mid,-0.4318,-0.228,-0.6599
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,period,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,rebound,0.1735,0.509,0.6825
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,rim,0.2573,-0.0486,0.2087
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,stoppage,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,timeout,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,turnover,-1.2982,1.0611,-0.2371
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,violation,0.0,,
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,fastbreak,1.1202,0.3172,1.4374
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,putback,-1.9152,-0.8178,-2.733
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642800,Aneesah Morrow,total,-0.5957,-1.3118,-1.9075
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,2pt,-2.0772,-0.6304,-2.7076
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,2ptShooting,-2.3631,0.3021,-2.061
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,3pt,-0.3011,-2.1307,-2.4317
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,3ptShooting,-0.4365,0.0,-0.4365
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,assist,1.2042,-1.8575,-0.6533
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,atb,1.5918,0.0,1.5918
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,badpass,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,bank,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,corner,-1.509,0.0,-1.509
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,cutting,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,driving,-0.5625,0.0,-0.5625
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,dunk,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,fade,-0.6059,0.0,-0.6059
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,floating,0.0,0.1692,0.1692
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,foul,0.1498,-0.4003,-0.2504
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,freethrow,-0.0045,0.4102,0.4057
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,grenade,0.5139,0.0,0.5139
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,hook,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,jumpball,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,layup,-0.5625,0.1329,-0.4296
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,mid,-1.8006,0.0,-1.8006
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,period,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,rebound,0.1018,-0.5297,-0.4279
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,rim,-0.5625,0.3021,-0.2604
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,stoppage,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,timeout,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,turnover,-2.112,0.8125,-1.2995
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,violation,0.0,,
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,fastbreak,0.3459,0.1746,0.5205
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,putback,-1.15,-0.0994,-1.2494
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203829,Bria Hartley,total,-4.2431,-2.4683,-6.7114
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,2pt,-0.013,0.4189,0.4059
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,2ptShooting,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,3pt,-0.5143,-0.0091,-0.5234
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,3ptShooting,-0.51,-0.2842,-0.7942
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,assist,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,atb,-0.51,0.1849,-0.3251
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,badpass,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,bank,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,corner,0.0,-0.4691,-0.4691
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,cutting,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,driving,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,dunk,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,fade,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,floating,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,foul,-0.0102,-0.0493,-0.0595
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,freethrow,-0.0045,0.151,0.1465
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,grenade,0.0,0.1849,0.1849
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,hook,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,layup,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,mid,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,period,0.0,,
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,rebound,0.278,0.011,0.289
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,rim,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,stoppage,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,timeout,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,turnover,-0.1534,0.7562,0.6028
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,violation,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,fastbreak,-0.0102,0.0,-0.0102
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,putback,-0.1825,0.0654,-0.1171
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,203863,Haley Peters,total,-0.4174,1.2787,0.8613
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,2pt,-0.5266,-0.3959,-0.9225
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,2ptShooting,-0.2723,0.1112,-0.1611
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,3pt,-3.6354,-0.5171,-4.1525
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,3ptShooting,-2.5457,0.2725,-2.2732
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,assist,0.346,-1.3207,-0.9746
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,atb,-2.04,0.5917,-1.4483
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,badpass,-0.6632,0.1801,-0.483
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,bank,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,corner,-0.5057,-0.3192,-0.8249
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,cutting,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,driving,0.9099,-0.1169,0.793
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,dunk,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,fade,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,floating,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,foul,1.7745,-0.8804,0.8941
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,freethrow,-0.6587,0.5612,-0.0976
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,grenade,-0.5982,0.1718,-0.4264
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,hook,0.0,0.0,0.0
