source,box_id,date,gmId,hmTm,starter,dAvgPos,tmName,plyrID,displayName,oNetPts,dNetPts,tNetPts,oUsg,dUsg,assisted3ptShooter,assistedLUShooter,assistedShooter,assister,assister3pt,assisterLU,blockplyr,dfoulplyr,drebounder,fg3aplyr,fg3mplyr,fgaplyr,fgmplyr,ftaplyr,ftmplyr,livetov1,luaplyr,lumplyr,ofoulplyr,orebounder,pts,rebounder,stlr,tov1,plusMinusPoints,minutes_played,played,oWPA,dWPA,tWPA,minutes_decimal
espnanalytics,20250811-1022500204,2025-08-11,1022500204,0,1,1.0,CON,203829,Bria Hartley,-4.2431,-2.4683,-6.7114,0.2786,0.1713,1,0,1,4,1,1,0,3,0,5,1,9,1,0,0,1,1,0,0,1,3,1,1,2,-18,19:53,1,-0.1063,-0.103,-0.2094,19.883
espnanalytics,20250811-1022500204,2025-08-11,1022500204,0,1,1.4519,CON,1642303,Leïla Lacan,-4.4609,0.0596,-4.4013,0.1794,0.1566,0,0,1,3,0,0,0,3,0,5,0,10,2,3,2,1,1,1,0,0,6,0,0,1,-15,33:16,1,-0.1051,-0.0304,-0.1355,33.267
espnanalytics,20250811-1022500204,2025-08-11,1022500204,0,1,2.3778,CON,1629497,Marina Mabrey,-4.5964,-1.1336,-5.73,0.1785,0.1758,0,1,1,4,3,1,0,1,3,6,0,7,1,1,1,1,1,1,1,0,3,3,0,3,-17,25:29,1,-0.0848,-0.0228,-0.1076,25.483
espnanalytics,20250811-1022500204,2025-08-11,1022500204,0,1,4.0,CON,1642800,Aneesah Morrow,-0.5957,-1.3118,-1.9075,0.2765,0.2048,1,0,4,0,0,0,0,1,11,3,1,13,5,2,2,0,4,1,0,3,13,14,1,1,-18,24:25,1,0.038,-0.0476,-0.0096,24.417
espnanalytics,20250811-1022500204,2025-08-11,1022500204,0,1,5.0,CON,1631135,Olivia Nelson-Ododa,2.7462,-3.1848,-0.4386,0.1563,0.2737,1,1,5,2,0,1,2,1,2,1,1,5,5,2,1,0,1,1,0,2,12,4,1,1,-21,30:20,1,0.0234,-0.1311,-0.1077,30.333
espnanalytics,20250811-1022500204,2025-08-11,1022500204,0,0,2.2549,CON,1642841,Mamignan Touré,-1.1425,-0.7163,-1.8588,0.1559,0.1994,1,0,1,2,1,0,0,2,0,2,1,3,1,0,0,0,1,0,0,0,3,0,0,1,6,12:38,1,0.0073,-0.0307,-0.0234,12.633
espnanalytics,20250811-1022500204,2025-08-11,1022500204,0,0,3.0,CON,1642809,Saniya Rivers,1.0144,1.9313,2.9457,0.1581,0.2017,1,0,2,1,0,0,1,0,5,2,1,7,4,0,0,0,2,1,0,0,9,5,2,1,-7,28:44,1,0.105,0.0162,0.1211,28.733
espnanalytics,20250811-1022500204,2025-08-11,1022500204,0,0,4.0,CON,203863,Haley Peters,-0.4174,1.2787,0.8613,0.0562,0.1874,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,1,0,3,1,0,4,6:57,1,0.0026,0.0143,0.0168,6.95
espnanalytics,20250811-1022500204,2025-08-11,1022500204,0,0,4.6806,CON,1642290,Aaliyah Edwards,-2.4326,2.6632,0.2306,0.2979,0.2234,0,1,1,0,0,0,2,2,2,0,0,6,2,6,4,1,4,2,1,3,8,5,0,3,1,18:18,1,-0.0898,0.0448,-0.045,18.3
espnanalytics,20250811-1022500204,2025-08-11,1022500204,1,1,1.0,GSV,1631007,Veronica Burton,-1.3959,2.8025,1.4066,0.1577,0.1766,0,0,0,10,5,2,1,0,4,1,0,3,0,4,3,1,1,0,0,2,3,6,0,1,16,30:08,1,-0.0063,0.0499,0.0437,30.133
