date,time,away,home
2026-08-20,2026-08-21T00:00Z,IND,DAL
2026-08-20,2026-08-21T02:00Z,CON,LVA
2026-08-20,2026-08-21T02:00Z,ATL,LAS
2026-08-21,2026-08-21T23:30Z,MIN,WAS
2026-08-21,2026-08-21T23:30Z,GSV,CHI
2026-08-21,2026-08-22T02:00Z,PDX,TOR
2026-08-22,2026-08-22T23:00Z,IND,NYL
2026-08-22,2026-08-23T01:00Z,CON,LAS
2026-08-22,2026-08-23T02:00Z,ATL,PHX
2026-08-23,2026-08-23T20:00Z,SEA,DAL
2026-08-23,2026-08-23T23:00Z,IND,CHI
2026-08-23,2026-08-23T23:00Z,WAS,PDX
2026-08-23,2026-08-23T23:00Z,LVA,TOR
2026-08-24,2026-08-25T00:00Z,GSV,MIN
2026-08-24,2026-08-25T02:00Z,ATL,LAS
2026-08-25,2026-08-25T23:00Z,CHI,CON
2026-08-25,2026-08-26T00:00Z,PDX,DAL
2026-08-25,2026-08-26T02:00Z,WAS,PHX
2026-08-26,2026-08-26T23:00Z,GSV,CON
2026-08-26,2026-08-27T02:00Z,TOR,SEA
2026-08-27,2026-08-28T00:00Z,GSV,NYL
2026-08-27,2026-08-28T02:00Z,WAS,PHX
2026-08-28,2026-08-28T23:30Z,PDX,ATL
2026-08-28,2026-08-28T23:30Z,CON,IND
2026-08-28,2026-08-29T02:00Z,TOR,LVA
2026-08-28,2026-08-29T02:00Z,WAS,LAS
2026-08-29,2026-08-29T17:00Z,CHI,NYL
2026-08-29,2026-08-30T02:00Z,TOR,PHX
