date,time,away,home
2026-07-17,2026-07-17T23:30Z,SEA,IND
2026-07-17,2026-07-17T23:30Z,ATL,TOR
2026-07-17,2026-07-17T23:30Z,LAS,CHI
2026-07-17,2026-07-18T02:00Z,CON,PHX
2026-07-18,2026-07-19T00:00Z,NYL,IND
2026-07-18,2026-07-19T00:00Z,PDX,MIN
2026-07-18,2026-07-19T00:30Z,WAS,GSV
2026-07-19,2026-07-19T17:00Z,LAS,DAL
2026-07-19,2026-07-19T20:00Z,CHI,ATL
2026-07-19,2026-07-19T23:00Z,CON,PHX
2026-07-20,2026-07-21T00:00Z,LVA,TOR
2026-07-20,2026-07-21T00:00Z,NYL,DAL
2026-07-20,2026-07-21T02:00Z,WAS,GSV
2026-07-20,2026-07-21T02:00Z,MIN,SEA
2026-07-22,2026-07-22T19:00Z,PHX,LAS
2026-07-22,2026-07-22T19:00Z,MIN,SEA
2026-07-22,2026-07-22T23:00Z,CHI,NYL
2026-07-22,2026-07-22T23:30Z,LVA,WAS
2026-07-22,2026-07-23T00:00Z,CON,IND
2026-07-22,2026-07-23T02:00Z,DAL,PDX
